,match_id,totalGold,level,xp,totalKills,totalDeaths,level_ups
1,3414944475,122215,283,125792,20,22,80
0,3414944481,117589,255,109471,20,6,76
1,3414944481,94697,245,101734,6,20,74
0,3414944482,202864,464,236379,8,18,94
1,3414944482,208380,468,242307,18,8,98
0,3414944487,157355,330,153255,22,6,86
1,3414944487,123177,310,137209,6,22,78
0,3414944495,117217,287,126309,12,12,78
1,3414944495,117833,289,128523,12,12,78
0,3414944510,262723,550,292126,30,48,96
1,3414944510,294750,566,310644,48,30,110
0,3414944513,84192,239,95576,0,8,68
1,3414944513,101752,243,102967,8,0,72
0,3414944522,186689,412,201239,18,14,90
1,3414944522,182878,416,199940,14,18,86
0,3414944530,114618,287,125218,8,16,80
1,3414944530,124010,295,132249,16,8,80
0,3414944534,113588,286,123808,4,12,78
1,3414944534,118809,293,132570,12,4,80
0,3414944535,127020,282,125987,22,18,78
1,3414944535,128340,291,130910,18,22,78
0,3414944550,223873,467,240380,26,22,96
1,3414944550,213860,459,230469,22,26,90
0,3414944551,82111,210,81872,8,4,68
1,3414944551,79606,203,77018,4,8,64
0,3414944570,266323,563,303411,24,28,102
1,3414944570,294285,573,318666,28,24,108
0,3414944584,247573,485,247820,26,22,94
1,3414944584,233488,504,256390,22,26,96
0,3414944585,217189,465,236606,22,22,94
1,3414944585,202212,464,240719,22,22,96
0,3414944597,227206,464,238505,36,26,94
1,3414944597,205732,424,202162,26,36,88
0,3414944627,64300,145,51564,12,6,60
1,3414944627,59157,147,51436,6,12,56
0,3414944628,131113,287,125855,24,6,78
1,3414944628,94973,248,97329,6,24,68
0,3414944637,160944,374,176965,10,10,88
1,3414944637,168789,385,181580,10,10,88
0,3414944638,366801,623,340055,46,40,106
1,3414944638,367824,627,339282,40,46,106
0,3414944639,329222,695,405952,20,18,114
1,3414944639,350725,702,411936,18,20,116
0,3414944668,173117,399,187128,10,18,82
1,3414944668,186694,411,201837,18,10,88
0,3414944676,84857,197,72885,12,20,64
1,3414944676,88024,198,76273,20,12,66
0,3414944690,370488,748,446726,42,20,116
1,3414944690,343352,703,397076,20,42,106
0,3414944701,107445,242,100068,14,22,72
1,3414944701,111555,242,99561,22,14,74
0,3414944704,121713,296,131806,14,8,82
1,3414944704,112540,284,125691,8,14,78
0,3414944707,216501,483,246904,22,32,92
1,3414944707,237871,483,244443,32,22,92
0,3414944708,246637,491,251607,26,26,96
1,3414944708,239220,492,245627,26,26,92
0,3414944730,183620,428,213604,22,10,94
1,3414944730,167731,405,192363,10,22,82
0,3414944744,170122,370,178514,28,18,88
1,3414944744,172803,360,168612,18,28,80
0,3414944753,260461,546,283672,18,26,104
1,3414944753,270135,571,309820,26,18,102
0,3414944764,184476,412,202369,10,22,88
1,3414944764,194337,437,219849,22,10,94
0,3414944772,54649,135,46917,6,6,54
1,3414944772,62783,149,54025,6,6,60
0,3414944773,254841,558,294969,24,20,100
1,3414944773,283325,544,286248,20,24,94
0,3414944780,131807,322,143536,10,22,76
1,3414944780,152111,339,159208,22,10,84
0,3414944787,294850,551,288746,34,24,94
1,3414944787,276919,551,291060,24,34,100
0,3414944801,135736,286,125034,24,28,76
1,3414944801,146694,284,125677,28,24,80
0,3414944831,171726,405,194668,12,34,96
1,3414944831,219434,443,226533,34,12,96
0,3414944832,96406,211,86741,20,4,70
1,3414944832,76903,205,79084,4,20,64
0,3414944867,97094,210,85770,18,10,68
1,3414944867,85201,204,78851,10,18,64
0,3414944871,44931,113,37642,8,6,52
1,3414944871,47122,117,38196,6,8,52
0,3414944899,171628,419,205568,20,10,94
1,3414944899,178741,413,197833,10,20,86
0,3414944907,202208,408,197278,30,34,90
1,3414944907,204206,404,195850,34,30,88
0,3414944924,161980,362,168987,20,14,88
1,3414944924,158659,361,166821,14,20,80
0,3414944925,316182,612,330375,32,26,102
1,3414944925,297488,589,318022,26,32,102
0,3414944930,128316,302,131807,14,38,80
1,3414944930,174265,349,167085,38,14,88
0,3414944937,104720,275,112190,4,20,70
1,3414944937,129302,289,128168,20,4,82
0,3414944942,113886,252,105512,14,18,72
1,3414944942,102478,226,91525,18,14,64
0,3414944946,70780,178,68497,4,6,66
1,3414944946,72611,179,67932,6,4,62
0,3414944953,107536,272,114330,4,16,72
1,3414944953,127992,300,133808,16,4,80
0,3414944961,416747,745,434027,46,18,114
1,3414944961,343074,690,384723,18,46,108
0,3414944971,104486,283,124399,6,16,78
1,3414944971,124617,304,138578,16,6,82
0,3414944989,188903,381,182077,18,20,88
1,3414944989,165823,351,160840,20,18,86
0,3414944991,65350,163,58528,6,18,60
1,3414944991,78843,171,65031,18,6,64
0,3414945020,174673,329,144521,36,20,78
