,match_id,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald
1,{3414944149},2,Win,True,False,True,False,True,True
0,{3414944158},1,Fail,False,False,False,False,False,False
1,{3414944158},2,Win,True,True,False,False,True,True
0,{3414944193},1,Win,False,False,True,False,False,False
1,{3414944193},2,Fail,True,True,False,True,True,True
0,{3414944196},1,Fail,False,False,False,False,True,False
1,{3414944196},2,Win,True,True,True,True,False,True
0,{3414944197},1,Win,False,False,True,True,True,False
1,{3414944197},2,Fail,True,True,False,False,False,True
0,{3414944198},1,Fail,False,False,False,False,False,False
1,{3414944198},2,Win,True,True,False,False,True,True
0,{3414944211},1,Win,False,True,True,True,False,True
1,{3414944211},2,Fail,True,False,False,False,True,False
0,{3414944215},1,Fail,False,True,False,False,True,True
1,{3414944215},2,Win,True,False,True,True,False,False
0,{3414944216},1,Fail,True,True,False,False,True,False
1,{3414944216},2,Win,False,False,True,True,False,False
0,{3414944217},1,Win,True,True,True,True,True,True
1,{3414944217},2,Fail,False,False,False,False,False,False
0,{3414944221},1,Fail,False,False,False,False,True,False
1,{3414944221},2,Win,True,True,False,True,False,True
0,{3414944223},1,Fail,False,False,False,True,False,True
1,{3414944223},2,Win,True,True,True,False,True,False
0,{3414944229},1,Fail,True,True,False,False,False,True
1,{3414944229},2,Win,False,False,True,True,True,False
0,{3414944233},1,Fail,True,True,False,False,False,True
1,{3414944233},2,Win,False,False,True,False,True,False
0,{3414944237},1,Win,False,True,True,False,True,True
1,{3414944237},2,Fail,True,False,False,False,False,False
0,{3414944240},1,Win,True,True,True,True,False,True
1,{3414944240},2,Fail,False,False,False,False,True,False
0,{3414944246},1,Fail,True,False,False,False,True,True
1,{3414944246},2,Win,False,True,True,False,False,False
0,{3414944250},1,Fail,False,False,True,True,False,False
1,{3414944250},2,Win,True,True,False,False,True,True
0,{3414944262},1,Win,False,True,True,False,True,False
1,{3414944262},2,Fail,True,False,False,False,False,True
0,{3414944267},1,Win,False,True,True,True,False,True
1,{3414944267},2,Fail,True,False,False,False,True,False
0,{3414944270},1,Fail,True,False,False,False,False,False
1,{3414944270},2,Win,False,True,True,False,True,True
0,{3414944274},1,Fail,False,False,False,False,True,False
1,{3414944274},2,Win,True,True,True,True,False,True
0,{3414944285},1,Fail,False,True,False,False,False,False
1,{3414944285},2,Win,True,False,False,False,True,True
0,{3414944310},1,Fail,False,False,False,False,False,False
1,{3414944310},2,Win,True,True,False,False,True,False
0,{3414944317},1,Fail,True,True,False,False,False,False
1,{3414944317},2,Win,False,False,True,True,True,False
0,{3414944321},1,Fail,False,True,False,False,False,True
1,{3414944321},2,Win,True,False,False,True,True,False
0,{3414944331},1,Win,True,True,False,False,True,True
1,{3414944331},2,Fail,False,False,False,False,False,False
0,{3414944335},1,Win,False,True,True,True,False,True
1,{3414944335},2,Fail,True,False,False,False,True,False
0,{3414944346},1,Win,True,True,True,True,True,True
1,{3414944346},2,Fail,False,False,False,False,False,False
0,{3414944362},1,Fail,False,False,False,False,False,False
1,{3414944362},2,Win,True,True,True,False,True,True
0,{3414944380},1,Win,True,False,False,False,False,False
1,{3414944380},2,Fail,False,True,True,True,True,True
0,{3414944382},1,Fail,False,False,False,False,False,False
1,{3414944382},2,Win,True,True,True,False,True,True
0,{3414944387},1,Fail,False,False,False,False,False,False
1,{3414944387},2,Win,True,True,True,True,True,True
0,{3414944388},1,Fail,False,False,False,False,False,False
1,{3414944388},2,Win,True,True,True,True,True,True
0,{3414944391},1,Fail,False,False,False,False,False,False
1,{3414944391},2,Win,True,True,True,True,True,True
0,{3414944402},1,Fail,False,True,False,False,True,True
1,{3414944402},2,Win,True,False,True,False,False,False
